offer_id,type,fuel_type,transmission,dealer_plz,dealer_city,dealer_street_house_nr,init_regist_my,init_regist_month,init_regist_year,init_regist_dt,make,mileage,hp,price
4559984,PORSCHE Cayenne S Diesel (SUV / Geländewagen),Diesel,Automat sequentiell,7500,St Moritz,Somplaz 6,9.2013,9.0,2013.0,2013-09,PORSCHE,110000,382,49000
5505951,PORSCHE Cayenne S Diesel Platinum (SUV / Geländewagen),Diesel,Automat sequentiell,4410,Liestal,Hammerstrasse 41,11.2017,11.0,2017.0,2017-11,PORSCHE,30000,385,85000
7035988,ASTON MARTIN V8 Vantage 4.7 Sportshift (Cabriolet),Benzin,Automatisiertes Schaltgetriebe,8400,Winterthur,Scheideggstr 6,8.2013,8.0,2013.0,2013-08,ASTON,14650,426,83500
7025419,ASTON MARTIN V8 Vantage 4.7 Sportshift (Cabriolet),Benzin,Automatisiertes Schaltgetriebe,8872,Weesen,Lindenweg 2,10.2008,10.0,2008.0,2008-10,ASTON,71000,426,64000
5057565,ASTON MARTIN V8 Vantage 4.7 Sportshift (Coupé),Benzin,Automatisiertes Schaltgetriebe,4208,Nunningen,4208 Nunningen,6.2009,6.0,2009.0,2009-06,ASTON,23000,426,52900
4309810,MERCEDES-BENZ SLK 280 (Cabriolet),Benzin,Automat sequentiell,9445,Rebstein,9445 Rebstein,7.2005,7.0,2005.0,2005-07,MERCEDES-BENZ,48000,231,12000
6248163,VW Golf 1.4 TSI GTE DSG (Limousine),Plug-in-Hybrid Benzin/Elektro,Automatisiertes Schaltgetriebe,4133,Pratteln,Unt. Rütschetenweg 25b,7.2015,7.0,2015.0,2015-07,VW,65000,204,28400
7489395,VW Golf 1.4 TSI Highline (Limousine),Benzin,Schaltgetriebe manuell,1256,Troinex,Chemin Dottrens 38,10.201,10.0,2010.0,2010-10,VW,100000,122,8250
7485682,LAND ROVER DISCOVERY SP SD4 SE (SUV / Geländewagen),Diesel,Automat sequentiell,1303,Penthaz,Route de Cossonay 9,4.2015,4.0,2015.0,2015-04,LAND,92000,190,25900
7449041,FORD Fiesta 1.4 16V Titanium Automatic (Kleinwagen),Benzin,Automat,1260,Nyon,1260 Nyon,6.2009,6.0,2009.0,2009-06,FORD,71000,96,6500
7506841,FORD Fiesta 1.4 16V Trend (Kleinwagen),Benzin,Automatisiertes Schaltgetriebe,2300,La Chaux-de-Fonds,Rue des Fleurs 26,4.2004,4.0,2004.0,2004-04,FORD,74000,80,2900
7021641,MINI Countryman Cooper S ALL4 Steptronic (SUV / Geländewagen),Benzin,Automat sequentiell,1260,nyon,Avenue Edouard Rod 4,3.2015,3.0,2015.0,2015-03,MINI,95000,190,13900
6481827,MINI Countryman Cooper S ALL4 Steptronic (SUV / Geländewagen),Benzin,Automat sequentiell,6900,Lugano,.,6.2016,6.0,2016.0,2016-06,MINI,42000,190,24500
6730277,MINI Cooper S Cabriolet Steptronic (Cabriolet),Benzin,Automat sequentiell,1085,vulliens,1085 vulliens,11.2017,11.0,2017.0,2017-11,MINI,25000,192,28500
6744483,BMW 650i Gran Coupé xDrive (Limousine),Benzin,Automat sequentiell,4146,Hochwald,4146 Hochwald,11.2014,11.0,2014.0,2014-11,BMW,74000,450,38900
6603743,BMW 650i Gran Coupé xDrive (Limousine),Benzin,Automat sequentiell,8834,Schindellegi,8834 Schindellegi,12.2012,12.0,2012.0,2012-12,BMW,61000,450,45000
7431993,BMW 650i Steptronic (Coupé),Benzin,Automat sequentiell,5605,Dottikon,Bränzweg 8,8.201,8.0,2010.0,2010-08,BMW,56000,367,30000
7414725,BMW 650i Steptronic (Coupé),Benzin,Automat sequentiell,8048,Zürich,Schneebelistr. 7,7.2009,7.0,2009.0,2009-07,BMW,53000,367,21500
7480403,LEXUS NX 300h comfort E-Four Automatic (SUV / Geländewagen),Voll-Hybrid Benzin/Elektro,Automat stufenlos,1036,sullens,Ch. des Etaches 4,6.2015,6.0,2015.0,2015-06,LEXUS,36000,197,31900
7372840,LEXUS NX 300h comfort E-Four Automatic (SUV / Geländewagen),Voll-Hybrid Benzin/Elektro,Automat stufenlos,4411,Seltisberg,Einschlagweg 14,4.2017,4.0,2017.0,2017-04,LEXUS,65300,197,29500
6979017,AUDI RS3 Sportback 2.5 TSI quattro S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,1564,Domdidier,Le Vursy 21,4.2019,4.0,2019.0,2019-04,AUDI,18000,400,59900
6342628,MINI One (Kleinwagen),Benzin,Schaltgetriebe manuell,3013,Bern,Kasernenstrasse 11d,10.2011,10.0,2011.0,2011-10,MINI,135000,75,5200
6122217,VW Golf 2.0 TSI R 4Motion (Limousine),Benzin,Schaltgetriebe manuell,8718,Schänis,Christian-Schwitter Strasse.13,12.2011,12.0,2011.0,2011-12,VW,165000,270,19900
7498098,TOYOTA Auris 1.8 16V HSD Linea Luna (Limousine),Voll-Hybrid Benzin/Elektro,Automat stufenlos,3037,BREMGARTEN B BERN,3037 BREMGARTEN B BERN,10.2012,10.0,2012.0,2012-10,TOYOTA,132000,136,8500
